,이름,제조사,주원료,규격,도수,설명
697,심술 10,배상면주가,"정제수, 옥수수전분, 기타과당, 백설탕, 주정, 젖산, 과채가공품, 이산화탄소,국,활성건조효모,아세설팜칼륨",330ml,10%,깔라만시와 자몽을 쌀과 함께 빚은 스파클링 라이스 와인이다. 열대 과일의 단맛과 새콤한 맛이 느껴진다. 적당량의 탄산이 주는 경쾌하고 깔끔한 맛이 특징이다.
698,지리산 강쇠,농업회사법인(유)술소리,"정제수, 쌀, 누룩, 오가피, 산수유, 오미자, 정백당 ,구연산, 정제효소, 야관문",375ml,13%,"순곡과 누룩을 60일 동안 전통 발효법으로 숙성시킨 후 지리산 약초 복분자, 오미자, 산수유, 하수오, 구기자, 산사 등의 약재 10여종과 빚어낸 술이다. 맑은 황금빛의 술로 고구마향이 나며 단맛과 신맛이 잘 어우러진다. 마신 후 미세한 쓴 맛이 입안을 채우며 목 넘김이 깔끔하다."
699,여민락주,여주육묘영농조합법인,"국내산 쌀, 누룩, 효모, 정제수",500ml,16%,"조선시대 임금님께 진상하던 여주쌀과 국산 누룩, 천연 암반수를 사용하고 전통발효기법을 이용하여 100일동안 3번의 숙성과 거르는 작업을 통해 만들어 깔끔한 맛과 향을 가지고 있다. 각종 육류와도 잘 어울리는 달짝지근한 맛이 강한 약주이다."
700,그리움,술샘,"국내산 쌀, 누룩, 효모, 정제수",700ml,14%,전통 차례주 그리움은 어떠한 첨가물도 들어있지 않고 질 좋은 경기미로만 만들어져 있어 명절 기름진 음식에 어울리는 담백한 차례주이다. 저온 발효와 숙성을 통해 자기 주장이 강하지 않고 드라이하며 향기롭다.
701,감자술 13%,오대서주양조,"국내산 백미, 국내산 감자, 누룩, 효모, 정제수",700ml,13%,"""감자술""은 국내 유일의 감자를 주원료로 만든 약주이다. 강원도의 특산품 감자를 발효시켜 빚은 술로 감자와 곡물이 어우러져 은은한 향이 풍미를 더해 준다. 2018년에는 평창동계올림픽성공을 기념하기 위해 청와대 명절선물로 선정되기도 했다. 강원도 오대산에서 흘러내린 맑은 물 오대천과 고랭지에서 재배한 최상급 감자가 만나 강원도를 대표하는 ""감자술""이 빚어졌다."
702,기다림 맑은술,제이케이크래프트,"국내산 멥쌀, 국내산 찹쌀, 곡자, 정제수",500ml,15%,"""기다림 맑은술""은 깔끔한 느낌을 유지하면서도 주원료인 찹쌀의 감칠맛을 살린 순하면서도 묵직함을 겸비하고 있는 약주이다. 단어로 정의 할 수 없는 풍부하고 오묘한 향과 맛을 자랑한다. 멥쌀, 찹쌀, 곡자(밀누룩), 정제수 이외에 어떠한 인공첨가물이 추가되지 않고 빚어낸다. 부산의 시화 ""동백꽃""을 모티브로 하고 동백꽃의 꽃말이기도한 ""기다림""을 브랜드로 하였다."
703,녹파주,솔송주(명가원),"국내산 찹쌀, 멥쌀, 누룩, 정제수",375ml,15%,"녹파주는 우리나라 최초로 발간된 요리책인 [산가요록]에 실려있던 고려시대 대표주이다. 여러 고문헌에도 제조법이 수록되어 있는 것으로 보아 그 인기를 짐작할 수 있다. 잔에 담긴 모습이 마치 거울에 비친 푸른 파도같이 맑다 하여 녹파주란 이름이 붙여졌다. (주)솔송주가 농촌진흥청과 함께 현대인에 맞게 재해석한 고급약주로서 녹파주 한잔에는 깔끔함과 풍미, 그리고 세련됨이 담겨 있다."
704,대윤 가야곡 왕주,대윤가야곡주조,"쌀, 누룩, 효모, 물엿, 정제수",300ml,13%,"""대윤가야곡주조""는 오랜 전통의 ""가야곡왕주""가 ""대윤가야곡주조""로 새출발을 하며 현대적 감성을 가진 진화하는 전통주 상품개발의 일환으로 선보인 제품이다. 엄선된 우리 쌀과 충남 논산의 깨끗한 물로 정성껏 빚었다. 야생 국화, 구기자로 정성껏 빚어낸 약주에 물엿과 사과 엑기스로 풍미를 더한다. 현대인의 식생활 패턴을 반영하여 아스파탐과 같은 인공감미료를 전혀 사용하지 않고 물엿과 사과 엑기스를 사용하여 타사 제품 대비 낮은 당도와 깔끔한 맛은 물론 숙취까지 적은 고급 약주이다."
705,대통대잎술,추성고을,"쌀, 누룩, 갈근, 구기자, 솔잎, 진피 등",700ml,15%,"사군자(四君子) 중 하나인 대나무는 많은 문인고사들이 그 청고하고 단아한 정취와 품격을 나타내고자 사용한 예술에 불가결의 존재였으며, 동시에 군왕의 높은 덕망과 비유되어 칭송되어 그 고결한 아름다움이 마치 군자와 같다고 비유되어왔다. 대한민국 식품명인 22호 양대수 명인의 혼이 담긴 담양의 대나무 전통주인 담양 대통대잎술은, 쌀과 각종 한약재를 넣어 빚고 대나무 통에서 2차 숙성을 거쳐야 비로소 그 향과 맛이 녹아있는 좋은 술로 태어나게 된다."
706,마주 소곡주,옥순가 소곡주 마주,"국내산 찹쌀, 국내산 백미, 모싯잎, 우리밀 누룩, 정제수, 효모",500ml,16%,"""마주 소곡주""는 국내산 찹쌀과 누룩을 주원료로 빚은 오랜 전통과 역사를 자랑하는 전통주이다. 직접 재배한 찹쌀과 모싯잎 등 재료와 우리밀 누룩을 사용하여 빚어낸 술이다. 강한 첫 맛과 함께 깔끔한 뒷맛을 가지고 있으며 고급 원료를 사용하기 때문에 그 맛과 향이 뛰어나다. 술 맛이 뛰어나 한번 앉아서 마시기 시작하면 일어날 줄 모른다 하여 ""앉은뱅이술""이라는 별칭도 가지고 있다."
707,맑은 문희주,문경주조,"국내산 유기농찹쌀, 국내산 멥쌀, 전통누룩, 정제수",750ml,13%,"맑은술 문희주는 묵직하고 짙은 맛의 탁주를 자연침전과 오랜 숙성의 기다림으로 맑게 걸러낸 부드럽고 깊은 맛의 술이다. 13%의 도수로 목 넘김이 부드럽고 깔끔한 맛이 일품이다. 프리미엄 전통주 &amp;amp;quot;문희&amp;amp;quot;는 재료를 세 번 덧담금 하는 전통 삼양주 기법으로 90일에서 100일간을 숙성시켜 빚고 있는데, 인공 감미료를 전혀 쓰지 않고 유기농 햇 찹쌀과 전통누룩 그리고 천연 암반수로만 빚어 숙취가 없고 풍미가 상당히 뛰어나다."
708,맑은술 해밀,내변산양조장,"쌀, 누룩, 정제수",500ml,15%,"""맑은술 해밀""은 40 여년간 약주와 탁주, 한국와인 등 지역 농임산물을 활용하여 다양한 술을 빚어온 내변산양조장에서 2018년 새롭게 선보인 프리미엄 약주이다. 전라북도 부안의 1급수와 국내산 쌀로 빚은 막걸리를 맑게 짜낸 후 100일간 발효하고 이후 오크통에서 다시 한번 100일간 숙성한 제품이다. 오크통 숙성으로 은은한 스모크향이 일품이며 목넘김이 부드러워 색다른 약주의 맛을 경험할 수 있다."
709,매실향기 담은 술,명세주가,"국내산 쌀, 효모, 조효소재, 물엿, 아스파탐, 정제수",500ml,14%,"""매실향기 담은 술""은 충북 청주시에 위치한 양조장 명세주가에서 국내산 쌀로 정성껏 빚어 발효시킨 동동주에 매실을 발효시켜 만든 효소액을 첨가하여 은은한 매실향이 매력적인 약주이다. 명세주가는 경영주가 청원생명쌀의 고장인 청원군 가덕면 한계리에서 농약을 사용하지 않고 우렁이 농법으로 친환경 재배한 지역 쌀을 원료로 막걸리, 약주, 증류주 등 다양한 제품을 생산하고 있다. 좋은 술을 만들기 위해서는 원재료비가 비싸더라도 좋은 재료를 사용해야 한다는 경영철학으로 맛과 품질에서 당당히 소비자에게 내놓을 수 있는 술을 빚고 있다."
710,면천두견주 360,면천두견주,"국내산 찹쌀, 누룩, 진달래꽃",360ml,18%,국가무형문화재 86-2호 면천두견주는 고려의 개국공신인 복지겸의 전설과 관련이 있는 술이다. 찹쌀과 두견화라 불리는 진달래꽃을 섞어 빚는 술로 가양주(家釀酒)이며 가향주(加香酒)라고 할 수 있다. 양조 횟수로 분류하면 이양주(二釀酒)이며 밑술 빚는 날로부터 발효와 숙성에 이어 저장에 이르기 까지 100일간이라는 장기공정을 거치는 발효주로 색은 담황색이고 단맛이 돌면서 점성이 있는데 일반 곡주와 달리 신맛과 누룩 냄새가 거의 없고 진달래꽃 향기가 일품이다.
711,면천두견주 700,면천두견주,"국내산 찹쌀, 누룩, 진달래꽃",700ml,18%,국가무형문화재 86-2호 면천두견주는 고려의 개국공신인 복지겸의 전설과 관련이 있는 술이다. 찹쌀과 두견화라 불리는 진달래꽃을 섞어 빚는 술로 가양주(家釀酒)이며 가향주(加香酒)라고 할 수 있다. 양조 횟수로 분류하면 이양주(二釀酒)이며 밑술 빚는 날로부터 발효와 숙성에 이어 저장에 이르기 까지 100일간이라는 장기공정을 거치는 발효주로 색은 담황색이고 단맛이 돌면서 점성이 있는데 일반 곡주와 달리 신맛과 누룩 냄새가 거의 없고 진달래꽃 향기가 일품이다.
712,명인 홍삼주,금산인삼주,"쌀, 홍삼, 누룩, 정제수 등",360ml,12.5%,"명인 홍삼주는 약효가 뛰어난 5년근 이상의 인삼을 저온 발효시켜 생산하는 한국을 대표하는 전통주이다. 삼국시대 백제 때부터 제조되었다고 구전되고 있으나, 기록에는 1399년 도승지와 이조판서를 지낸 김문기 가문에서 대대로 내려와 현재 16대손 김창수의 조모와 모친에 의해 전승 되었다. 16대손 김창수는 농림축산식품부에서 지정하는 식품명인 2호로 지정되었으며 금산인삼주의 맛과 품질을 계승하고 있다."
713,모월 청,모월,"쌀(국내산), 누룩, 정제수",500ml,16%,"지방분이 없도록 잘 씻은 불려 고두밥을 짓고 식힌 뒤, 물과 누룩과 혼합해 발효실로 옮깁니다.발효가 된 밑술에 다시 덧술을 넣고,22도 미만의 저온에서 지긋하게 장기 숙성을 시킵니다.그렇게 완성된 약주인 모월 청은 멥쌀을 사용한 덕에 달지 않고 상큼한 맛이 특징입니다."
714,별바랑,금계당,"국내산 찹쌀, 국내산 멥쌀, 누룩, 정제수",375ml,17.5%,별바랑은 안동 바랑골에서 농사를 지은 쌀과 5대째 내려오고 있는 발효기법이 합쳐져 만들어진 술이다. 바랑은 승려들이 등에 지고 다니는 자루 모양의 주머니를 뜻한다. 지역명과 술을 담는다는 주머니를 중의적으로 이름에 담고 있다. 시흥 삼해주 5대 이수자인 서규리 대표가 운영하는 금계당에서 빚는 수제 막걸리로 생쌀 발효의 특징을 담아내듯 담백하고 100일 숙성된 술답게 맛의 균형감도 잘 잡혀 있다. 안동 대구서씨 가문의 제주로 쓰이고 있는 술이다.
715,방문주 약주,케이소주,"국내산 찹쌀, 누룩, 정제수",500ml,15%,"방문주(方文酒)는 이름 그대로 술 빚는 방법대로 빚은 술 을 뜻한다. 방문주는 주로 봄, 가을철에 빚는 술로 알려져 있는데, 문헌 및 가전비법에 따라 재료의 처리방법이 다양하므로, 술 빚기에 있어 까다로운 면이 없지 않다. 그러나 맛과 향, 알코올 도수의 함량 등에서 단연 특별하다 싶을 정도로 뛰어난 맛과 향취를 자랑한다."
716,모을동주 약주,대작영농조합법인,"쌀(국내산), 조제종국 효모, 정제효소, 정제수",375ml,13%,"모을동주 약주는 철원군농민회가 주축이되어 설립한 대작영농조합에서 생산한 철원 오대쌀 100%로 빚은 술이다. 찰지고 맛 좋기로 유명한 철원 오대쌀, 그러나 식생활의 변화로 쌀 소비는 줄어들고 귀한 쌀이 팔리지 않는 현실을 극복하고자 농민들이 의기투합하여 철원 오대쌀을 활용하여 부가가치 있는 술을 빚어 판매하기로 한다. 그 두번째 술인 모을동주 약주, 소주 제품이 출시된 후 강원도를 대표하는 또 하나의 술로 자리매김하고 있다."
717,모든날에,양지술곳간,"정제수48.8%, 찹쌀(국내산, 39%), 멥쌀(국내산, 7.8%), 밀누룩4.4%",500ml,15%,한계령 맑은물과 설악산아래 양양쌀로 빚은 정통삼양주로 자연의 맛과향의 무첨가 순곡주이다.
718,서주 16%,오대서주양조,"백미(국내산), 감자(국내산), 누룩, 효모, 정제수",400ml,16%,"""서주""는 감자술을 한자로 적은 이름입니다. 일반 감자술 제품을 좀더 숙성 시키고 고급스러운 도자기에 담아낸 프리미엄 제품입니다. 국내 유일의 감자를 주원료로 만든 약주입니다. 강원도의 특산품 감자를 발효시켜 빚은 술로 감자와 곡물이 어우러져 은은한 향이 풍미를 더해 줍니다. 2018년에는 평창동계올림픽성공을 기념하기 위해 청와대 명절선물로 선정되기도 했습니다. 강원도 오대산에서 흘러내린 맑은 물 오대천과 고랭지에서 재배한 최상급 감자가 만나 강원도를 대표하는 ""감자술""이 빚어졌습니다."
719,석탄주 약주,케이소주(전주가양주연구소),"국내산 찹쌀, 누룩, 정제수",500ml,15%,"""석탄주""는 애석할 석(惜)자 삼킬 탄(呑)으로서 옛 고서에서 술의 맛과 향이 우수하여 감히 삼키기가 아깝다라고 전해오고 있습니다. 임원십육지를 비롯해서 양주방, 음식방문, 조선무쌍신식요리제법 등 여러 고문에서 ""석탄향""에 대한 기록을 찾을 수 있는 것으로 보아 당시에는 상당히 대중적인 술이었음을 알 수 있습니다. ""석탄주 약주"" 는 기록으로만 전해오던 가양주를 복원한 값진 술입니다."
720,설련주,영농조합법인 석전상온전통주가,"백련, 찹쌀, 멥쌀, 누룩",750ml,16%,설련주는 식품명인 제74호로 지정된 곽우선 명인이 빚은 약주입니다. 진흙에서 피어도 깨끗한 백련처럼 세상을 살고자 했던 조상의 뜻을 잊지 않기 위해 백련꽃으로 술을 빚어 대대로 제사와 혼례에 마시던 술입니다. 직접 빚은 전통누룩을 이용하여 밑술과 두 차례의 덧술로 정성껏 빚은 삼양주입니다. 은은한 백련꽃 향이 살아있는 명술입니다.
721,세종 오가닉,조은술 세종,"정제수, 유기농 백미, 국, 효모, 정제효소, 구연산",375ml,13%,100% 유기농 원료로 만든 &amp;quot;Organic&amp;quot;은 &amp;quot;2014년 지역희망 박람회 지역특화상품전&amp;quot;에서 최고상인 산업통상자원부 장관상을 받았습니다. 최고급의 재료만으로 빚는 술은 세계 유기농 엑스포 공식 건배주로도 사용된 술이며 유기가공 식품 인증과 품격을 갖춘 세련된 디자인은 마치 와인을 보는듯한 착각마저 일으킵니다. 단맛은 적으면서 깔끔해 부담없이 마시기도 좋습니다.
722,신선주,용두산조은술,"쌀, 능금, 신선초, 천궁, 구기자, 당귀솔잎, 대추, 인삼",750ml,16%,"오래전부터 약주를 장기간 복용하게 되면 늙지도 않고 머리가 검어지며, 동안이 되어 결국에는 신선처럼 된다는 전설이 내려옵니다. &quot;신선주&quot;에는 능금, 신선초, 천궁, 구기자, 당귀솔잎, 대추, 인삼 등 몸에 좋은 다양한 약재가 들어가 있습니다. &quot;신선주&quot;는 건강 증진의 목적과 함께 전염병에 대한 예방과 치료, 성인병으로 상징되는 혈환관계 질환과 신경관계 질환에 대한 예방과 치료, 강장 강정효과, 머리와 피부를 늙지 않고 윤택하게 만들어 주는 약재들이 들어간 &quot;약주&quot;입니다."
723,애석,농업회사법인 (주)두루,"국내산쌀, 누룩, 정제수",500ml,15%,"""애석""은 쌀과 누룩만으로 빚어낸 석탄주입니다. ""석탄주""는 애석할 석(惜)자 삼킬 탄(呑)으로서 옛 고서에서 술의 맛과 향이 우수하여 감히 삼키기가 아깝다라고 전해오고 있습니다. 임원십육지를 비롯해서 양주방, 음식방문, 조선무쌍신식요리제법 등 여러 고문에서 ""석탄향""에 대한 기록을 찾을 수 있는 것으로 보아 당시에는 상당히 대중적인 술이었음을 알 수 있습니다. ""애석""은 기록으로만 전해오던 가양주를 복원한 값진 술입니다."
724,연천 연주,농업회사법인 연천양조(주),"쌀(국내산), 누룩, 정제수",500ml,12%,"경기도 최북단 DMZ의 민통선에 위치한 연천양조장에서 연천 고래실논에서 재배되는 연천쌀과 누룩으로 빚은 연천 연주는 전통방식의 약주인데 단맛이 감하지 않아 마실 때 술과 안주를 부르는 맛입니다. ""연주(戀酒)""는 사랑스러운 뜻도 있지만 자기 돈 내고 마시고 싶은 술이란 의미도 지닙니다. 그 만큼 양조인 스스로도 고개가 끄덕여지는 술맛을 내겠다는 다짐으로 집어진 술입니다."
725,예담은 한산소곡주,한산예담은소곡주,"찹쌀, 멥쌀, 누룩, 대두, 구절초",750ml,16%,&amp;amp;quot;한산소곡화주&amp;amp;quot;는 국내산 찹쌀과 누룩을 주원료로 빚은 오랜 전통과 역사를 자랑하는 전통주입니다. 강한 첫맛과 함께 깔끔한 뒷맛을 가지고 있으며 고급원료를 사용하기 때문에 그 맛과 향이 어느 술보다 뛰어나다. 술맛이 뛰어나 한번 앉아서 마시기 시작하면 일어날줄 모른다하여 &amp;amp;quot;앉은뱅이 술&amp;amp;quot;이라는 별칭도 가지고 있습니다.
726,예화,농업회사법인 대윤가야곡주조(주),"쌀, 누룩, 효모, 물엿, 정제수",750ml,13%,"""예화""는 오랜 전통의 ""가야곡왕주""가 ""대윤가야곡주조""로 새출발을 하며 현대적 감성을 가진 진화하는 전통주 상품개발의 일환으로 선보인 제품입니다. 엄선된 우리 쌀과 야생 국화, 구기자로 정성껏 빚어낸 약주에 물엿과 사과 엑기스로 풍미를 더합니다. 예화는 현대인의 식생활 패턴을 반영, 기존 왕주 제품을 아스파탐과 같은 인공감미료를 전혀 사용하지 않고 물엿과 사과 엑기스를 사용하여 타사 제품 대비 낮은 당도와 깔끔한 맛은 물론 숙취까지 적은 고급 약주입니다."
727,황도배기 햅쌀막걸리,우리술,고창 황토배기 햅쌀,900ml,6%,"국내 최초로 원적외선이 방출되는 황토 토굴에서 발효, 숙성시키며 100% 국내산 햅쌀을 증자후 저온에서 장기간 발효시키는 방법으로 빚어 막걸리고유의 맛과 향이 뛰어나다."
728,고향인삼막걸리,(주) 찬우물,"국내산쌀90%, 국내산인삼10%",750ml,6%,국내산 쌀과 303m 천연지하암반수를 사용하여 자연발효 후 온도와 습도가 일정한 지하저온저장고에서 장기 저온 숙성시켜 맛이 부드럽고 숙취가 없으며 인천강화의 고려인삼농축액을 첨가해 발효시켜 인삼특유의 맛과 향이 적당히 녹아있다.
729,입장탁주,(농) 입장주조㈜,국내산 쌀,750ml,7%,쌀을 익히지 않고 자연그대로 발효시키는 생쌀발효법으로 만들어진 생막걸리로 순수쌀 100%로 빚은 술이다. 9~10일간 저온발효하여 숙취와 트림이 나는 막걸리의 단점을 최소화시켰으며 불로 쪄서 만드는 과정에 파괴될 수 있는 영양소를 최소화시켜 영양분이 살아있다. 부드러운 목 넘김과 입안에 남는 잔향이 없어 깔끔한 맛을 느낄 수 있다.
730,왕매실 막걸리,순성왕매실영농조합,"국내산쌀, 매실원액1%",750ml,6%,"2002년도에 1,400여 농민들이 매실 10만본을 식재한 후 수확량이 현재 연간 100여 톤에 이르며 농식품부지원하에 가공, 생산하게 되었다. 왕매실막걸리는 우리 쌀과 100m 지하 암반수와 토종 매실로 빚어 매실특유의 신맛과 탄산이 있으며 상큼하고 부드럽다. 구연산이 들어있어 트림이 없고 소화가 잘된다."
731,고향생막걸리,(주) 찬우물,국내산 쌀,750ml,6%,100% 국내산 쌀과 303m 천연지하암반수를 사용하여 자연발효 후 온도와 습도가 일정한 지하저온저장고에서 장기저온숙성시켜 맛이 부드럽고 숙취가 없으며 각종 영양분과 효모가 살아있는 막걸리이다.
732,미담,(주)성광주조,국내산 쌀,750ml,6%,"우리 쌀로 만든 미담 생막걸리는 15일간 장기발효방법으로 제조하여 효모가 살아있고, 자연발효에 의해 생성된 탄산가스가 청량감과 감칠맛을 돋운다. 쌀 이외에 올리고당을 사용하여 음용시 정장작용에 도움이 되고 장기 숙성과 햅쌀을 사용하여 보존성이 높고, 숙취가 없다."
733,지장수 호박막걸리,낙천,"정제수(지장수), 쌀, 효모, 누룩, 과당 등",550ml,6%,지장수 호박막걸리는 국내산 쌀과 천연 지장수를 원수로 하여 발효과정에 국내산 호박을 첨가하여 영양성을 높였으며 고유의 노란빛깔로 맛을 돋구어 깔끔하고 부드러운 맛으로 한잔의 즐거움이 있다. 또한 술잔을 함께하여 단지형모양의 깔끔한 디자인으로 막걸리의 품격을 한층 높였다.
734,산천어막걸리,화천주가,"정제수,팽화미(쌀/외국산),입국(쌀),국(밀),설탕,정제효소제, 효모,아스파탐(감미료,페닐알라닌 함유)",750ml,6%,첫 담금을 입국미의 함량을 높여 저온 장기 발효하여 입국미와 토종효모의 향긋한 향과 두번째 담금의 팽화미로 장기간 발효하고 거른 후 1도에서 3도의 냉장 탱크에서 숙성한다. 요쿠르트맛과 은은한 사과향과 달달함이 즐거움을 느껴진다. 숙성해 상압방식의 특유한 향과 맛이 일품이다.
735,새송이 쌀막걸리 정,영덕주조,"국내산 쌀, 새송이버섯",750ml,6%,쌀을 주재료로 한 막걸리에 새송이버섯을 첨가하여 특허를 받은 막걸리이다. 과하지 않은 단맛과 탄산의 상쾌한 맛이 적당하며 한 여름에 시원하게 마시면 자연탄산이주는 입안의 상쾌함이 좋다.
736,하얀연꽃 백련막걸리,신평양조장,국내산 쌀,375ml,7%,신평양조장은 막걸리를 옛날의 술로 머물게 하지 않고 오늘날 우리삶속에서 같이 호흡할 수 있도록 막걸리의 모던프리미엄주의를 지향한다. 하얀연꽃 백련막걸리는 전통적으로 사찰에서 전수되어온 백련곡차의 현대적 복원으로 당진 해나루쌀을 사용하여 술의 빛깔이 밝고 부드러우며 백련잎을 발효과정에 첨가하여 맛이 은은하고 부드러운 것이 특징이다.
737,구암대추막걸리,구암농산,"쌀, 대추",1000ml,6%,"청송의 맑은 물과 수목이 가득한 자연 속에서 직접 재배한 양질의 대추로 만든 대추엑기스, 국내산 100% 쌀로 정성껏 빚어 목 넘김이 부드러운 막걸리이다. 구암농산은 1981년 대추농장으로 2만주 대추나무를 식재하여 현재 약7만평규모, 20만평 야산을 보유하고 있는 경북최대 대추농장으로 성장하여 2008년 구암농산을 설립하였고, 2년여 연구개발 끝에 2010년부터 맛과 기술에서 인정받는 대추 막걸리를 생산해 오고 있다."
738,울금생막걸리 정,영덕주조,"국내산 쌀, 국내산 울금",750ml,6%,쌀을 주재료로 한 막걸리에 울금을 첨가하여 특허를 받은 막걸리이다. 입안에서 감도는 울금 특유의 향과 마시고난 후 오랫동안 여운을 주는 감미로운 맛이 일품이다.
739,불로생우리쌀막걸리,불로생우리쌀막걸리,국내산 쌀,750ml,6%,불로생 우리쌀 막걸리는 50년 전통의 생 막걸리로 효모가 살아있어 특유의 감칠맛을 느낄 수 있을 뿐만아니라 효모에 함유된 판토텐산이 대장의 운동을 활발하게 하여 변비에도 좋으며 몸에 좋은 각종영양소가 풍부하다.
740,백년친구 쌀막걸리,만수주조(영농조합법인),"백미, 소맥분",750ml,6%,술맛이 부드럽고 뒷 향이 은은하게 느껴지는 것이 마시는 이로 하여금 부담을 주지 않으며 또한 뒷맛이 깔끔하고 목 넘김이 좋은 막걸리이다.
741,팔공산미나리 생막걸리,성포양조장,"쌀, 소맥분, 전분당, 정제수, 무농약 미나리추출액, 정제효소, 종국, 효모, 아스파탐, 밀 함유",750ml,6%,미나리 생막걸리는 혈압을 내리고 중금속해독능력이 뛰어난 친환경 미나리를 사용하여 빚은 막걸리로 대구 팔공산 일대의 농가에서 생산하여 5년간 숙성한 미나리발효원액을 첨가해 쌀과 막걸리의 산성화를 중화하여 막걸리의 트림현상과 숙취가 거의 없는 것이 특징이다.
742,자연담은 복분자막걸리,(농)국순당고창명주㈜,"국내산 복분자(고창), 정제수",360ml,6%,"고창산 쌀과 고창산 1등급 복분자로 빚은 고급막걸리로 국순당의 특허기술인 생쌀발효법으로 빚어 필수아미노산이 풍부하다. 복분자와 쌀이 혼합된 막걸리로 신선한 과실향에 부드럽게 올라오는 곡물향이 잘 섞여 있다. 단맛과 신맛 등 오미의 조화가 잘 갖춰져 있고, 막걸리를 살균하여 청량미는 적지만 맑은 산미가 입 전체를 깔끔하게 만든다."
743,천마이야기 막걸리,농업회사법인산들벗(주),"팽화미, 입국미, 무주천마분말, 오미자추출액",750ml,6%,"한방에서는 혈액순환, 두뇌활동개선, 두통에 천마를 처방한다. 100% 무주산 천마와 쌀을 발효하여 만든 프리미엄 막걸리이다. 전통막걸리에 프랑스샴페인 지방의 후발효방식을 접목하여 자연발생탄산의 함량이 높아 청량감이 오래 지속되며, 원료가공의 차별화로 목 넘김이 부드럽고 깔끔한 것이 특징이다."
744,줄포 생막걸리,내변산(동진주조),국내산 쌀,750ml,6%,"1980년대 부안군 줄포면 동진주조장에서 첫 출시하여 2014년 현재까지 꾸준하게 주질 향상을 위해 품질개선과 공정관리, 위생관리 등에 노력하여 막걸리의 세계화와 전통주의 고급화에 노력하고 있다. 줄포 생 막걸리는 백미를 사용하여 전통발효기술에 최첨단온도 제어시스템으로 저온발효, 저온숙성방식으로 영양이 풍부하며 자연발효에 의한 자연탄산과 어우러져 감칠맛과 청량감이 풍부하여 젊은이들에게도 꾸준한 사랑을 받고 있다."
745,안양동동주,안양주조장,"국내산 햅쌀, 국내산 친환경 햇찹쌀",1700ml,6%,"국내산 친환경 햇 찹쌀과 햅쌀에 당화력이 좋은 밀 누룩과 보리누룩을 발효제로 사용해 빚은 막걸리로 다양한 재료들이 술의 향과 맛의 조화를 이룬다. 찹쌀은 미감을 부드럽게, 쌀은 전체적인맛과 향의 조화, 보리누룩은 은은한 단맛을, 밀의 당화력은 청량한 목 넘김을 주면서, 전체적으로 부드러우면서도 전통적인 투박한 맛이 강점이다."
746,우렁이쌀 손 막걸리,양촌양조,"쌀, 정제수 효모, 정제효소, 효소처리 스테비아",750ml,7.5%,"양촌 우렁이쌀 손 막걸리는 우렁이 농법으로 100% 무농약 재배한 논산 햅쌀로 빚은 수제 막걸리다. 기존 생 막걸리 3배 이상 긴 시간 동안의 저온숙성 단계를 지나서야 비로소 소비자와 교감할 수 있는 깨끗함과 깊은 맛을 낸다. 부드러운 목 넘김이 특징인 7.5도의 우렁이 쌀 막걸리는 양촌양조 프리미엄 탁주의 대표주자이다. 또한, 볶은듯한 곡물의 향, 바나나 향이 느껴진다. 단맛이 부드럽고 점잖게 올라오는 반면에 신맛은 가볍게 따라온다. 가벼운 바디감과 청량감이 편안한 자리의 시작으로 좋을 듯하다."
747,문희 탁주,문경주조,국내산 쌀,700ml,13%,"프리미엄 탁주인 문희는 문경주조가 위치한 문경의 옛 이름인 문희에서 따온 술로 기쁜 소식을 전한다는 의미를 담고 있다. 모든 술 빚는 과정 하나하나를 손으로 직접 하고 있는 수제 전통주로, 힘겨운 육체노동 뒤 황토 벽돌로 지은 황토 방에서 100일 이상 자연 건조로 숙성 시키는 기다림 끝에서야 비로소 진짜배기 탁주를 얻을 수 있다.인공 감미료를 전혀 쓰지 않고 유기농 햇 찹쌀과 전통 누룩 그리고 천연 암반수로만 빚어 숙취가 없고 풍미가 상당히 뛰어난 탁주다."
748,사미인주,청산녹수,"유기농 햅쌀, 벌꿀",750ml,8%,"전라남도 노령산맥 암반수와 100% 친환경 유기농 햅쌀, 천연 벌꿀을 발효시켜 만든다. 어떠한 첨가물도 들어가지 않은 프리미엄 생막걸리다. 아름다운 아낙들이 생쌀을 씹어 뱉어 담갔다 해서 미인주라 이름 붙은 전통주에 송강 정철의 사미인곡(思美人曲)의 의미를 담았다. 님과 함께 마시는 아름다운 술이란 뜻으로도 풀이된다."
749,2017년 햅쌀로 빚은 첫술,국순당,국내산 햅쌀,750ml,7%,"2017년 햅쌀로 빚은 첫술은 매년 가을철, 그 해 수확한 햅쌀로 빚은 프리미엄 생 막걸리로 계절 한정 상품으로 선보인다. 올해 수확한 경북 안동 햅쌀을 원료로 빚어, 생 막걸리 특유의 탄산감이 살아있으면서도 부드럽고 신선한 쌀의 향과 맛을 느낄 수 있다."
